Employee_ID,First_Name,Last_Name,Department_Name,Manager_Name,Email,Phone_Number,Hire_Date,Salary,Date_As_On
827,Dana,Harvey,IT,Mr. James Hamilton DDS,donaldwalls@wong-coleman.com,464.815.0100,09/04/24,77488,21/01/25
782,Antonio,Adams,Marketing,Amy Lloyd,barberrebecca@cowan-vasquez.com,+1-170-223-2469x552,08/09/22,70157,21/01/25
738,Brittney,Valdez,HR,Robert Saunders,natashabell@white.com,001-639-518-8003x152,14/03/24,77295,21/01/25
732,Manuel,Stanley,Operations,Jacob Morrison,jermainecampbell@hotmail.com,972-123-0737x7011,20/03/22,85089,21/01/25
436,Megan,Knox,Finance,Gregory Burke,fmorrison@yahoo.com,997.034.6097,14/04/20,88828,21/01/25
305,Chloe,Escobar,HR,Christopher Jefferson,trobinson@garza.com,+1-050-938-3428x45553,31/08/24,69652,21/01/25
665,Justin,Jackson,IT,Hannah Bennett,williamsonernest@hotmail.com,240.229.6424x374,24/11/23,97273,21/01/25
976,Stephen,Lopez,Finance,Elaine Bradley,barronbrandon@yahoo.com,001-037-621-9323x52570,22/11/24,62884,21/01/25
450,James,Brown,Operations,Brian Gardner,zford@gmail.com,091.418.7488,09/01/23,104088,21/01/25
164,John,Marquez,Finance,Christopher Cline,sanderssherry@gmail.com,108-357-1030x890,24/06/23,115064,21/01/25
323,James,Wilson,Finance,Alan Rogers,fhernandez@davis-hunt.info,706.632.5317x7251,06/09/21,113871,21/01/25
273,Theresa,Reed,Marketing,Jason Richardson,punderwood@hotmail.com,507-024-5443x490,08/02/22,104355,21/01/25
154,Heather,Boyer,Marketing,James Oconnell,sherriwest@yahoo.com,+1-740-793-4290x4128,03/09/22,96991,21/01/25
763,Jesse,Morrow,Operations,Jessica Brock,xrodriguez@deleon.com,(354)945-9635,18/11/21,78571,21/01/25
112,Patricia,Villa,Marketing,Susan Miller,ronnierocha@kennedy.com,563-700-5661x999,23/10/21,73270,21/01/25
178,Jessica,Lopez,Marketing,Kathleen Carney,collinscatherine@fisher.info,(987)987-4587,26/10/21,74406,21/01/25
772,Donald,Carr,IT,David Keith,lopezmitchell@yahoo.com,+1-228-339-6688x7882,12/09/24,118249,21/01/25
598,April,Booth,Operations,Jacqueline Kim,sflores@munoz.com,+1-489-814-5278x64371,05/10/23,67233,21/01/25
913,Kathryn,Hopkins,Finance,Richard Peters,rachelross@clark.net,+1-159-576-5149x04182,23/04/23,84118,21/01/25
358,Olivia,Baker,Operations,Chris Miller,clifford10@yahoo.com,516.381.9486x128,18/08/20,118935,21/01/25
648,Joshua,English,Operations,Elizabeth Zimmerman,khankurt@hotmail.com,320.378.8489x36984,11/07/21,86604,21/01/25
749,Theresa,Carter,HR,Christian Coleman,shawn75@koch-campbell.org,+1-278-373-1355,20/07/20,95188,21/01/25
877,Andre,Shaw,Marketing,Edward Bradford,rodriguezlogan@waters-gonzalez.com,1940966814,18/05/22,98477,21/01/25
568,Alisha,Burton,Marketing,Cynthia West,phillipholt@gmail.com,+1-791-366-8790x204,19/05/24,71856,21/01/25
211,Brett,Russell,HR,Travis Avila,sean38@hotmail.com,693-286-4018x60643,19/07/24,96244,21/01/25
680,Michael,Porter,Finance,Paul Nunez,nguyenfrank@wells.org,(142)437-0520x4161,29/09/20,65654,21/01/25
203,Linda,Taylor,HR,Mrs. Desiree Weeks,jsmith@browning.com,+1-810-346-4470x61684,10/07/22,60201,21/01/25
256,Katherine,Davis,Marketing,Rodney Clark,brandonbrown@gmail.com,8518021483,17/10/21,90021,21/01/25
926,Christopher,Cruz,HR,Melissa Johnson,lowejustin@perry.com,4882622316,30/04/24,88021,21/01/25
986,Alexander,Hickman,Marketing,Grace Gentry,cwallace@patrick.net,4253750056,14/03/20,97720,21/01/25
767,Samantha,Dawson,Finance,David Roman,jacksoncheryl@yahoo.com,612-439-0876x139,14/04/24,117596,21/01/25
596,John,Moore,Operations,Nicolas Little,ryan97@good-klein.org,287.895.9260x080,01/10/22,104220,21/01/25
728,Sherry,Garcia,IT,Austin Wilson,robert98@yahoo.com,(235)011-7209x169,04/07/22,99193,21/01/25
734,Tony,Campos,HR,Melissa Johnson,jefferywilson@barr-richardson.com,(896)580-4980x8060,03/03/20,67601,21/01/25
804,Bethany,Rojas,HR,Robert Schneider,charles10@gmail.com,001-526-431-3982x783,08/02/21,85057,21/01/25
675,Christina,Barajas,IT,James Vincent,fjones@yahoo.com,001-570-076-6996x6002,04/05/24,72620,21/01/25
113,Mason,Moore,Marketing,Christopher Simmons,hjackson@norman.org,631.151.4704x125,28/04/23,97739,21/01/25
667,Emily,Mathews,Finance,Karen Mcclure,daniel01@gmail.com,(228)103-5393x5787,01/09/24,75765,21/01/25
621,Jill,Bean,HR,Rebekah White,williamsolivia@gmail.com,482.896.4388,09/04/21,87697,21/01/25
649,Jennifer,Webb,Finance,James Hicks,mark40@hotmail.com,(393)454-3212,06/12/21,113776,21/01/25
935,Troy,Pope,IT,Crystal Butler,reidgary@hotmail.com,(837)670-7176,24/03/22,80877,21/01/25
915,Faith,Wells,Finance,Lee Gardner,rachelgonzalez@yahoo.com,642.048.6849x21683,09/09/24,106902,21/01/25
186,Daniel,Turner,Finance,Nancy Warren,taylorkevin@crane.org,(655)041-4017x7241,11/06/22,83571,21/01/25
617,Katherine,Stewart,HR,Briana Cooper,johnsondaniel@yahoo.com,101.665.1180x4990,18/09/21,87310,21/01/25
906,Christopher,Bond,HR,Nicole Clements,reginald90@yahoo.com,484-310-4189x2940,21/08/20,88776,21/01/25
868,Natalie,Phillips,IT,Claudia Douglas,ehart@gmail.com,(887)737-0039x99522,06/11/21,90483,21/01/25
896,Aaron,Douglas,Finance,Kyle Garrett,knappsteven@gmail.com,001-664-264-4227,30/10/24,95691,21/01/25
311,Donna,Obrien,Marketing,Raymond Scott,garciajessica@pearson.com,315-859-5780x04138,03/04/22,110468,21/01/25
799,Glen,Medina,Marketing,Emily Anderson,qjohnson@booth-newman.com,+1-732-520-5816x2251,28/09/20,101830,21/01/25
419,Christopher,Wallace,HR,Andrew Martin,johngonzalez@gmail.com,627.352.8221x35028,22/05/23,116092,21/01/25
869,Raymond,Tyler,IT,Rebekah Compton,martinezdawn@gmail.com,998.983.8641x7474,16/08/23,74318,21/01/25
131,Brittney,Berry,Operations,Andrew Ray,stewartcole@brown-lee.com,001-272-392-6543x369,22/03/21,114083,21/01/25
931,Marco,Garrett,IT,Diane Hansen,vegastacy@hurley.com,(170)056-3448x4468,29/09/24,67777,21/01/25
878,Clayton,Jacobs,Operations,Charles Kidd,jennifer33@hansen.com,+1-946-117-3476x54753,10/01/24,92784,21/01/25
839,Jessica,Simpson,IT,Matthew Smith,kellylong@hines-jackson.net,3311909451,30/06/22,106059,21/01/25
309,Benjamin,Dean,IT,Alexander Jones,samuelcharles@hotmail.com,338-461-3075,08/10/20,66878,21/01/25
419,Danielle,Maynard,Marketing,David Murphy,ihamilton@mckay-rogers.com,+1-463-306-8186x909,12/12/22,96743,21/01/25
285,Charles,Jones,HR,Jonathan Yang,elizabeth21@yahoo.com,(655)073-6997x98672,06/08/23,110651,21/01/25
760,Julie,Chen,HR,Glenda Fuller,peggy21@levy.com,1782289293,18/02/23,118353,21/01/25
301,Sara,Foley,IT,Jon Gibson,trevorrodriguez@gmail.com,(821)418-1350,16/04/24,101520,21/01/25
516,Ann,Lopez,Finance,Joanna Hogan,hrose@gamble-goodman.com,(926)272-0170,23/03/22,80149,21/01/25
832,Jacob,Tanner,HR,Stacey Richardson,hartjillian@yates.com,632-560-9111x3307,05/04/22,107172,21/01/25
661,Erin,Potter,Marketing,Samuel Bryant,zleonard@alvarez-jones.com,+1-604-756-5916x84765,04/10/24,114052,21/01/25
741,Jennifer,Ellis,IT,Samantha Hudson,pottsyvette@huff.com,2223676933,14/01/25,69575,21/01/25
508,Jessica,Lopez,IT,Katie Johnson,lucaselliott@yahoo.com,001-832-217-7699,08/10/20,60857,21/01/25
239,Joseph,Garcia,Finance,Angela Porter,barbara64@gmail.com,(329)511-5570x855,07/12/21,60605,21/01/25
291,Mary,Small,HR,Richard Patterson,morgannancy@hotmail.com,(109)697-8952,07/08/21,91484,21/01/25
424,Daniel,Simon,HR,Daniel Davis,karen32@hotmail.com,860.220.6362x6137,12/11/22,87814,21/01/25
833,Nicole,Gray,Marketing,Andrea Smith,knappmichael@poole-daugherty.org,639.100.4766x489,05/05/21,104784,21/01/25
506,Jeffrey,Elliott,IT,Zachary Gilbert,jason55@yahoo.com,001-486-232-4091x5247,10/11/23,93249,21/01/25
158,Kimberly,Morales,Marketing,Anna Munoz,wsmith@hotmail.com,041.945.1706,17/05/21,117952,21/01/25
